iter	Logloss
0	0.6772885803
1	0.660066382
2	0.6465503934
3	0.6328518933
4	0.622058457
5	0.612568994
6	0.6056682521
7	0.6023220083
8	0.5958592601
9	0.590572499
10	0.5859468014
11	0.5823561445
12	0.5783876494
13	0.5750322426
14	0.5725531803
15	0.5695480435
16	0.5667885295
17	0.5638304867
18	0.5620987703
19	0.5598050395
20	0.5572361104
21	0.5547352399
22	0.5536370446
23	0.5511162811
24	0.5491504837
25	0.5474241578
26	0.5460565063
27	0.5439407968
28	0.5425873065
29	0.5416251059
30	0.540202973
31	0.5387149111
32	0.5380630016
33	0.5360274346
34	0.5348070158
35	0.5335380141
36	0.5323628468
37	0.5314687387
38	0.529859654
39	0.5290050939
40	0.5275407837
41	0.5261407844
42	0.5252302973
43	0.5240616691
44	0.5230534154
45	0.5221761581
46	0.5207573363
47	0.5192790837
48	0.5183831251
49	0.5174261211
50	0.5160791087
51	0.5152562693
52	0.5135154976
53	0.5127446019
54	0.5114269097
55	0.5101219172
56	0.5094708854
57	0.5082487033
58	0.5073468814
59	0.5062965625
60	0.5052364354
61	0.5043930408
62	0.5033638316
63	0.5018969962
64	0.5012002117
65	0.5003021872
66	0.499658639
67	0.4988300463
68	0.4977309575
69	0.4965796234
70	0.4957838557
71	0.4942532897
72	0.4935899393
73	0.493095717
74	0.4923143293
75	0.4912777702
76	0.4900981387
77	0.4891633295
78	0.4881595411
79	0.4876019478
80	0.4872123476
81	0.4861048782
82	0.48559477
83	0.484381184
84	0.4831728469
85	0.4822738892
86	0.4814797271
87	0.4810685114
88	0.4804394953
89	0.4792479715
90	0.4780709887
91	0.4770025185
92	0.4764162954
93	0.4753337978
94	0.4750842402
95	0.474041777
96	0.4729996879
97	0.4721642656
98	0.4713680943
99	0.4705132825
100	0.4697617933
101	0.46928397841102	0.46877705771103	0.46825712321104	0.46723638761105	0.46646945821106	0.465753808
107	0.4653502247
108	0.4650070495
109	0.4644642444
110	0.4639126187
111	0.4634955193
112	0.4624038213
113	0.4616975212
114	0.4612204536
115	0.4604110644
116	0.459930933
117	0.4595759404
1118	0.46130567871119	0.460974423
120	0.4606532476
121	0.4596724443
122	0.4591179488
123	0.458732959
124	0.4583031827
125	0.45767749
126	0.4567562558
127	0.4560494002
128	0.4549388182
129	0.4542103301
130	0.4535721067
131	0.452826879
132	0.4520194458
133	0.4508424301
134	0.4502684622
135	0.4494707193
136	0.4485649265
137	0.4479755717
138	0.4471591717
139	0.4462497992
140	0.445703479
141	0.444567457
142	0.4440668895
143	0.4432820571
144	0.4426174151
145	0.4416013511
146	0.4411627203
147	0.4404991192
148	0.4400105358
149	0.4391011089
150	0.4381848876
151	0.4375169982
152	0.437156843
153	0.4367074514
154	0.436094388
155	0.4358360054
156	0.4352947209
157	0.4346894156
158	0.4338771372
159	0.4333806653
160	0.4328305251
161	0.4318842681
162	0.4313146918
163	0.430906261
164	0.4298733338
165	0.4292858658
166	0.4283375973
167	0.4276041541
168	0.4267270976
169	0.4258425846
170	0.4251678498
171	0.4242138257
172	0.4234988502
173	0.4222683681
174	0.4216263349
175	0.4211396938
176	0.4206553806
177	0.4201367229
178	0.4195535841
179	0.4186583093
180	0.4180962495
181	0.4176446537
182	0.4170901106
183	0.416562926
184	0.4160059767
185	0.4153750828
186	0.4145596704
187	0.4141005648
188	0.4134704624
189	0.4126856129
190	0.4120735167
191	0.4115676868
192	0.4112223493
193	0.4101878085
194	0.4097411803
195	0.4091680027
196	0.4085639617
197	0.4082381952
198	0.4078650909

2951586
